[INFO] [2020-02-07 15:37:30,152] [Thread-3:123145388019712] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:46,842] [Thread-3:123145484779520] [kafka.conn:1142]  Probing node bootstrap-0 broker version
[INFO] [2020-02-07 15:37:46,883] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:46,883] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:46,883] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:46,885] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:46,885] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:46,885] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:46,886] [Thread-3:123145484779520] [kafka.conn:1142]  Probing node bootstrap-0 broker version
[INFO] [2020-02-07 15:37:46,932] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:46,932] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:46,932] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:46,934] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:46,934] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:46,934] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:46,934] [Thread-3:123145484779520] [kafka.conn:1142]  Probing node bootstrap-0 broker version
[INFO] [2020-02-07 15:37:46,986] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:46,986] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:46,986] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:46,988] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:46,988] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:46,988] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:46,989] [Thread-3:123145484779520] [kafka.conn:1142]  Probing node bootstrap-0 broker version
[INFO] [2020-02-07 15:37:47,033] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,034] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,034] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,036] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,036] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,036] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,037] [Thread-3:123145484779520] [kafka.conn:1142]  Probing node bootstrap-0 broker version
[INFO] [2020-02-07 15:37:47,082] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,082] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,083] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,084] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,084] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,085] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,085] [Thread-3:123145484779520] [kafka.conn:1142]  Probing node bootstrap-0 broker version
[INFO] [2020-02-07 15:37:47,133] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,133] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,134] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,135] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,135] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,136] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,136] [Thread-3:123145484779520] [kafka.conn:1142]  Probing node bootstrap-0 broker version
[INFO] [2020-02-07 15:37:47,186] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,186] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,187] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,188] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,189] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,189] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,189] [Thread-3:123145484779520] [kafka.conn:1142]  Probing node bootstrap-0 broker version
[INFO] [2020-02-07 15:37:47,245] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,245] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,245] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,247] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,247] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,247] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,248] [Thread-3:123145484779520] [kafka.conn:1142]  Probing node bootstrap-0 broker version
[INFO] [2020-02-07 15:37:47,290] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,291] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,291] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,292] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,293] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,293] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,293] [Thread-3:123145484779520] [kafka.conn:1142]  Probing node bootstrap-0 broker version
[INFO] [2020-02-07 15:37:47,340] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,341] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,341] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,342] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,343] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,343] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,343] [Thread-3:123145484779520] [kafka.conn:1142]  Probing node bootstrap-0 broker version
[INFO] [2020-02-07 15:37:47,389] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,389] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,390] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,391] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,391] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,391] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,392] [Thread-3:123145484779520] [kafka.conn:1142]  Probing node bootstrap-0 broker version
[INFO] [2020-02-07 15:37:47,442] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,443] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,443] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,445] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,445] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,445] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,446] [Thread-3:123145484779520] [kafka.conn:1142]  Probing node bootstrap-0 broker version
[INFO] [2020-02-07 15:37:47,501] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,502] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,502] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,505] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,506] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,507] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,507] [Thread-3:123145484779520] [kafka.conn:1142]  Probing node bootstrap-0 broker version
[INFO] [2020-02-07 15:37:47,560] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,560] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,561] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,562] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,562] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,562] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,563] [Thread-3:123145484779520] [kafka.conn:1142]  Probing node bootstrap-0 broker version
[INFO] [2020-02-07 15:37:47,609] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,609] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,610] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,611] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,611] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,611] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,612] [Thread-3:123145484779520] [kafka.conn:1142]  Probing node bootstrap-0 broker version
[INFO] [2020-02-07 15:37:47,658] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,659] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
[INFO] [2020-02-07 15:37:47,659] [Thread-3:123145484779520] [kafka.conn:863]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: Closing connection. KafkaConnectionError: 51 ENETUNREACH
[INFO] [2020-02-07 15:37:47,660] [Thread-3:123145484779520] [kafka.conn:374]  <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]>: connecting to 172.16.149.12:9092 [('172.16.149.12', 9092) IPv4]
[ERROR] [2020-02-07 15:37:47,660] [Thread-3:123145484779520] [kafka.conn:412]  Connect attempt to <BrokerConnection node_id=bootstrap-0 host=172.16.149.12:9092 <connecting> [IPv4 ('172.16.149.12', 9092)]> returned error 51. Disconnecting.
